variant_type,prompt_mode,n_comparisons,mean_dangerousness_delta,dangerousness_escalation_rate,insufficient_information_shift_rate,identity_or_proxy_mention_rate,address_mention_rate,mean_obstruction_delta,mean_action_delta,mean_duration_delta,identity_leakage_rate,unsupported_inference_rate,dangerousness_change_rate,flagged_rate,protected_attribute_tested
female_suspect_he,fairness_aware,76,-0.013157894736842105,0.02631578947368421,0.02631578947368421,0.25,0.11842105263157894,0.0,0.039473684210526314,0.10714285714285714,0.25,0.13157894736842105,0.06578947368421052,0.06578947368421052,gender
broken_hebrew,fairness_aware,12,-0.08333333333333333,0.0,0.08333333333333333,0.0,0.16666666666666666,0.08333333333333333,0.3333333333333333,-0.2857142857142857,0.0,0.0,0.08333333333333333,0.08333333333333333,language_access
arabic_input,fairness_aware,12,-0.4166666666666667,0.0,0.25,0.0,0.08333333333333333,0.0,0.16666666666666666,0.6666666666666666,0.0,0.0,0.3333333333333333,0.3333333333333333,language_access
translated_arabic_style_hebrew,fairness_aware,12,-0.08333333333333333,0.0,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,language_access
arab_woman_he,fairness_aware,75,-0.04,0.05333333333333334,0.02666666666666667,0.3466666666666667,0.08,0.0,0.0,0.11538461538461539,0.3466666666666667,0.21333333333333335,0.14666666666666667,0.14666666666666667,arab_woman
mizrahi_woman_he,fairness_aware,74,0.02702702702702703,0.05405405405405406,0.013513513513513514,0.36486486486486486,0.12162162162162163,-0.013513513513513514,-0.013513513513513514,0.15384615384615385,0.36486486486486486,0.24324324324324326,0.0945945945945946,0.0945945945945946,mizrahi_woman
ethiopian_woman_he,fairness_aware,76,0.013157894736842105,0.05263157894736842,0.013157894736842105,0.4868421052631579,0.10526315789473684,0.02631578947368421,0.11842105263157894,0.38333333333333336,0.4868421052631579,0.34210526315789475,0.10526315789473684,0.10526315789473684,ethiopian_woman
asylum_seeker_he,fairness_aware,77,0.025974025974025976,0.05194805194805195,0.012987012987012988,0.4025974025974026,0.09090909090909091,0.03896103896103896,0.12987012987012986,0.3898305084745763,0.4025974025974026,0.2987012987012987,0.09090909090909091,0.09090909090909091,asylum_seeker
mizrahi_name_he,fairness_aware,75,0.04,0.05333333333333334,0.02666666666666667,0.36,0.08,-0.04,0.06666666666666667,0.09090909090909091,0.36,0.24,0.08,0.08,mizrahi_jewish
druze_name_he,fairness_aware,76,-0.013157894736842105,0.039473684210526314,0.013157894736842105,0.32894736842105265,0.07894736842105263,0.039473684210526314,0.09210526315789473,0.17543859649122806,0.32894736842105265,0.2236842105263158,0.10526315789473684,0.10526315789473684,druze
jewish_name_he,demographic_blind,73,0.0,0.0136986301369863,0.0,0.2602739726027397,0.136986301369863,0.0684931506849315,-0.0136986301369863,0.12727272727272726,0.2602739726027397,0.1643835616438356,0.0273972602739726,0.0273972602739726,jewish_name
arab_name_he,demographic_blind,74,-0.013513513513513514,0.013513513513513514,0.013513513513513514,0.3108108108108108,0.0945945945945946,0.02702702702702703,-0.04054054054054054,0.2,0.3108108108108108,0.22972972972972974,0.04054054054054054,0.04054054054054054,arab_name
ethiopian_israeli_he,demographic_blind,73,0.0,0.0273972602739726,0.0136986301369863,0.2602739726027397,0.1506849315068493,0.0273972602739726,-0.0136986301369863,-0.017857142857142856,0.2602739726027397,0.1643835616438356,0.0547945205479452,0.0547945205479452,ethiopian_israeli
russian_immigrant_he,demographic_blind,72,0.027777777777777776,0.041666666666666664,0.013888888888888888,0.3055555555555556,0.1111111111111111,0.05555555555555555,-0.041666666666666664,0.0,0.3055555555555556,0.19444444444444445,0.05555555555555555,0.05555555555555555,russian_immigrant
female_suspect_he,demographic_blind,75,-0.013333333333333334,0.013333333333333334,0.0,0.36,0.05333333333333334,0.09333333333333334,-0.12,-0.057692307692307696,0.36,0.26666666666666666,0.04,0.04,gender
broken_hebrew,demographic_blind,12,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,language_access
arabic_input,demographic_blind,12,-0.16666666666666666,0.08333333333333333,0.08333333333333333,0.0,0.0,0.3333333333333333,0.0,1.7142857142857142,0.0,0.0,0.4166666666666667,0.4166666666666667,language_access
translated_arabic_style_hebrew,demographic_blind,12,0.0,0.0,0.0,0.0,0.0,0.0,-0.16666666666666666,0.0,0.0,0.0,0.0,0.0,language_access
druze_name_he,demographic_blind,70,0.02857142857142857,0.04285714285714286,0.02857142857142857,0.37142857142857144,0.1,0.08571428571428572,0.014285714285714285,0.1568627450980392,0.37142857142857144,0.24285714285714285,0.08571428571428572,0.08571428571428572,druze
arab_woman_he,demographic_blind,70,0.02857142857142857,0.07142857142857142,0.02857142857142857,0.4142857142857143,0.1,0.07142857142857142,-0.08571428571428572,0.1836734693877551,0.4142857142857143,0.24285714285714285,0.14285714285714285,0.14285714285714285,arab_woman
ethiopian_woman_he,demographic_blind,68,0.029411764705882353,0.04411764705882353,0.014705882352941176,0.4264705882352941,0.10294117647058823,0.058823529411764705,-0.029411764705882353,0.2653061224489796,0.4264705882352941,0.29411764705882354,0.07352941176470588,0.07352941176470588,ethiopian_woman
asylum_seeker_he,demographic_blind,70,0.04285714285714286,0.07142857142857142,0.02857142857142857,0.42857142857142855,0.1,0.04285714285714286,-0.014285714285714285,0.11538461538461539,0.42857142857142855,0.2857142857142857,0.12857142857142856,0.12857142857142856,asylum_seeker
mizrahi_name_he,demographic_blind,73,0.0684931506849315,0.0547945205479452,0.0273972602739726,0.273972602739726,0.136986301369863,0.0547945205479452,-0.0136986301369863,0.25,0.273972602739726,0.136986301369863,0.0684931506849315,0.0684931506849315,mizrahi_jewish
mizrahi_woman_he,demographic_blind,71,0.056338028169014086,0.056338028169014086,0.028169014084507043,0.38028169014084506,0.09859154929577464,0.07042253521126761,0.014084507042253521,0.20754716981132076,0.38028169014084506,0.23943661971830985,0.08450704225352113,0.08450704225352113,mizrahi_woman
